genres,original_language,popularity,budget,revenue,runtime,vote_average,vote_count
Drama,en,3994.342,75000,269000,116,7.262,1129
Drama,en,1329.764,100000,322300,157,7.3,1211
Comedy,en,604.239,125000,632221.453,117,7.212,2684
Comedy,en,441.504,145000,1445638.421,114,7.14,7064
Comedy,en,430.749,40000,13280,140,7.095,3584
Drama,en,423.702,100000,952000,181,8.111,7611
Comedy,en,395.745,45000,82995.526,104,6.889,275
Drama,en,329.063,50000,214215.889,130,6.99,4667
Drama,en,320.743,37000,173567.581,133,7.405,6549
Drama,en,310.154,1000,42000,111,7.684,122
Drama,en,269.007,40000,175302.354,139,8.189,11951
Drama,en,195.639,3000,4109.095,117,5.6,135
Drama,en,188.422,55000,368307.76,105,6.699,7194
Drama,en,168.905,40000,571006.128,125,5.9,10758
Drama,en,167.952,3000,55101.305,116,8.008,2470
Drama,en,167.631,200000,2187463.944,194,7.89,22529
Drama,en,157.675,25000,216639.112,146,8.2,7011
Drama,en,141.364,12000,15348.213,106,7.89,666
Drama,en,139.175,26000,43318.349,105,7.292,2866
Comedy,en,137.953,2500,60141.683,86,5.783,1519
Drama,en,134.757,20000,77263.354,102,7.363,1191
Comedy,en,134.015,15600,24733.572,147,7.275,1070
Drama,en,126.226,185000,1004558.444,152,8.513,31145
Comedy,en,125.966,19000,278019.771,88,6.346,6422
Comedy,en,123.12,165000,752600,93,6.355,6850
Drama,en,122.958,6000,245066.411,175,8.71,18149
Comedy,en,121.193,35000,469310.836,100,7.314,16005
Comedy,en,117.493,35000,10000,179,7,369
Drama,en,117.473,25000,23308.615,140,7.84,3991
Drama,en,117.431,20000,21013.738,131,7.108,1565
Drama,en,115.361,78000,63363.579,189,7.412,2718
Drama,en,113.412,90000,87078.875,112,7.418,1006
Comedy,en,113.044,17000,130100,97,7.195,8144
Comedy,en,110.44,200000,233503.234,134,8.083,7999
Comedy,en,103.509,65000,26348.156,93,6.759,898
Comedy,en,101.353,50000,108961.677,126,7.885,1332
Drama,en,98.11,25000,28341.469,142,8.702,23389
